X1,Brand,Name,Old.Price,New.Price,ml,Concentration,Department,Scents,Base,Middle,Item.Rating,Seller,Seller.Rating,Number.Of.Sellers.Ratings,Change.In.Price,Change.In.Price.Percentage,Rating.Numbers
0,PACO RABANNE,1 Million Lucky,395,244.55,100,EDT,Men,Woody,"Oakmoss, Patchouli, Vetiver","Hazelnut, Jasmine, Cashmir Wood, Cedar, Honey",5,noon,4.2,98.1K,150.45,38.09,98100
1,Roberto Cavalli,Paradiso Assoluto,415,107.95,50,EDP,Women,Floral,"Vanilla, Sandalwood, Patchouli","Wild Jasmine, Red Lily",4.8,noon,4.2,98.1K,307.05,73.99,98100
2,S.T.Dupont,Royal Amber,265,186.9,100,EDP,Unisex,Arabian,"Lemon, Mint, Wood Moss","Sandalwood, Cedar",5,noon,4.2,98.1K,78.1,29.47,98100
4,Roberto Cavalli,Uomo,260,94.95,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K,165.05,63.48,98100
5,Roberto Cavalli,cavalli,260,94.95,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K,165.05,63.48,98100
6,HUGO BOSS,The Scent,220,220,50,EDP,Women,Oriental,Roasted Cocoa,"Lavender, Osmanthus Flower",4,rich&light,4.3,4K,0,0,4000
8,GUCCI,Bamboo,575,189,75,EDP,Women,Floral,Sandalwood,"Casablanca Lily, Ylang Ylang Extra-Comoros",4.8,Al-Najm,3.7,347,386,67.13,347
9,Yves Saint Laurent,M7 Oud Absolu,536,273,80,EDT,Men,Arabian,"Cistus, Myrrh, Oud, Amber",Patchouli,4.5,Al-Najm,3.7,347,263,49.07,347
10,CERRUTI 1881,1881,335,119.55,100,EDT,Men,Fresh,"Musk, Sandalwood, Patchouli, Oak Moss, Cedar, Pepper, Pine Tree","Vetiver, Ylang-Ylang, Rose, Lily-Of-The-Valley, Cassia",4.3,AMLAQ,3.9,135,215.45,64.31,135
11,Calvin Klein,IN 2 U MEN,152,85,100,EDT,Men,Citrus,"White Musk, Vetiver, Cedar",Cacao Pod,3.7,AMLAQ,3.9,135,67,44.08,135
12,Rasasi,Royale Blue,97,45.3,75,EDP,Men,Fruity,Delicate Musky Sensual Woods,"Distinct, Exotic",4.5,Bismat Eatar,3.9,66,51.7,53.3,66
15,CHLOE,Love Story,483,274.95,75,EDP,Women,Floral,"Musk, Cedar, Cashmirwood, Patchouli","Orange Blossom, Stephanotis, Rose, Black Currant, Peach",5,noon,4.2,98.1K,208.05,43.07,98100
16,NARCISO RODRIGUEZ,Narciso Rouge,591,275.15,90,EDP,Women,Woody,"Cedar Wood, Tonka Beans, Vetiver",Musk,4.5,noon,4.2,98.1K,315.85,53.44,98100
17,DORALL COLLECTION,24 Pure,22,9.85,100,EDT,Men,Fresh,"Amber, Musk, Sandalwood, Coumarin, Vanilla","Pink Pepper, Cardomon, Cinnamon, Jasmin, Cumin, Red Fruits, Lily, Nutmeg",4.9,B.A.G,3.7,14.1K,12.15,55.23,14100
18,Rasasi,Romance,60,35.25,45,EDP,Women,Floral,"Amber, Musk, Powdery Notes, Cedar, Sandalwood","Rose, Jasmine",4.5,B.A.G,3.7,14.1K,24.75,41.25,14100
19,BOUCHERON,Quatre,327,171.5,100,EDP,Women,Floral,Golden Woods Musk,"Sambac Jasmine Absolute, Rose Absolute",5,Star.perfume,3.9,537,155.5,47.55,537
20,NARCISO RODRIGUEZ,Narciso Rodriguez,595,200,100,EDP,Women,Floral,"Patchouli, Sandalwood","Amber, Musk",4.6,hadayiq baris,3.8,122,395,66.39,122
21,Alina Corel,Monsieur Intense Gold,31.45,31.45,100,EDP,Unisex,Woody,"Rare Wood, Amber Fat, White Musk","Shepherd, Saffron, Teak Wood, Gaiak Wood",5,Kathya,3.8,116,0,0,116
22,Revlon,Charlie Gold,143,43,100,EDT,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",4,Golden Perfumes,3.6,113,100,69.93,113
23,TED LAPIDUS,Pour Homme,129,44.45,100,EDT,Men,Woody,"Sandalwood, tonka bean, amber, patchouli, musk, oakmoss, cedar, tobacco","Pine tree, honey, orris root, jasmine, caraway, petitgrain, lily-of-the-valley, rose, brazilian rosewood, incense",5,neo lek,3.5,88,84.55,65.54,88
24,Britney Spears,Fantasy,170,90,100,EDP,Women,Vanilla,"Luid Sandalwood, Jasmine, Amber, Vanilla","Sweet Napolitano Cake, Verbena, Jacaranda Wood, Grapefruit Blossom",5,Cute Shop,3.8,76,80,47.06,76
25,GUCCI,Bloom Aqua Di Fiori,515,311.8,100,EDT,Women,Fruity,Jasmine,Tuberose,4.7,noon,4.2,98.1K,203.2,39.46,98100
26,Yves Saint Laurent,Body Kouros,510,203.6,100,EDT,Men,Woody,Benzoin,"Chinese Cedar, Clary Sage",5,noon,4.2,98.1K,306.4,60.08,98100
27,Van Cleef & Arpels,First,170.95,170.95,100,EDT,Women,Floral,"Honey, Sandalwood, Tonka Bean, Amber, Musk, Civet, Vanilla, Oakmoss, Vetiver","Carnation, Tuberose, Orchid, Orris Root, Jasmine, Hiacynth, Turkish Rose, Ylang-Ylang, Lily-Of-The-Valley, Narcissus",5,noon,4.2,98.1K,0,0,98100
28,NARCISO RODRIGUEZ,Narciso Rodriguez,465,226,100,EDP,Women,Musk,"Patchouli, Sandalwood","Amber, Musk",4,Brand Land,4.2,98,239,51.4,98
29,S.T.Dupont,S.T. Dupont,120,79.35,100,EDT,Men,Spicy,"Sandalwood, Amber, Patchouli, Musk, Coconut","Carnation, Cypress, Iris, Cinnamon, Lavender, Jasmine",5,noon,4.2,98.1K,40.65,33.88,98100
30,Estee Lauder,Knowing,585,220,75,EDP,Women,Woody,"Oakmoss, Vetiver, Sandalwood, Amber","Jasmine, Patchouli, Orange Flower",5,KAYA,4.3,4K,365,62.39,4000
31,Geoffrey Beene,Grey Flannel For Men,361,79,120,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver, Cedar","Mimose, Iris, Violet, Sage, Rose, Geranium, Narcissus",5,top langri,3.7,347,282,78.12,347
32,Dolce & Gabbana,The Only One,596,187.3,100,EDP,Women,"Oriental, Floral","Marshmallow, Vanilla, Sandalwood, Heliotrope","Coffee, Iris",5,Asrar Aljamal,3.5,244,408.7,68.57,244
33,Rasasi,Al Wisam Day,177,76,100,EDP,Men,Oriental,"Oak Moss, Rich, Musty Oud","Amber Nuanced Clary Sage, Soft, Milky Sandalwood, Woody Cedarwood",4.3,hadayiq baris,3.8,122,101,57.06,122
35,Dior,Addict,715,333.8,100,EDP,Women,Floral,"Bourbon Vanilla, sandalwood, Tonka Bean","Night Queen Flower, Bulgarian Rose, Orange Flower",4.5,Parfume-Stor,3.5,63,381.2,53.31,63
36,S.T.Dupont,Passenger,182,108.9,100,EDT,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",5,perfumes--addresses,4.4,59,73.1,40.16,59
37,BURBERRY,Brit Rhythm Intense,370,136.65,90,EDT,Men,Spicy,"Cashmere Wood, Coumarin, Guaiac Wood, Leather, Sandalwood, Tonka Beans, Vanilla","Amber, Basil, Lavender, Mint, Patchouli",4.6,noon,4.2,98.1K,233.35,63.07,98100
38,Calvin Klein,CK Be,247,108.3,200,EDT,Men,Floral,"Musk, Sandalwood, Cedar, Vanilla, Opoponax, Amber","Green Grass, Peach, Jasmine, Freesia, Magnolia, Orchid",5,noon,4.2,98.1K,138.7,56.15,98100
39,GUCCI,Guilty,504,214.9,75,EDT,Women,Floral,"Patchouli, Amber","Raspberry Vilolet, Lilac, Peach",5,noon,4.2,98.1K,289.1,57.36,98100
40,AIGNER,Starlight,341,126.95,100,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, White Musk","Cumin, Jasmine, Strawberries",5,noon,4.2,98.1K,214.05,62.77,98100
41,BENTLEY,Azure,387,107,100,EDT,Men,Citrus,"Cashmere Wood, Tonka Bean, Orcanox","Pimento, Tea Accord, Lavender, Clary Sage",4.6,Cute Shop,4.1,538,280,72.35,538
42,VERSACE,Dylan Blue,85,20.5,5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Beans","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",4.4,Princess of beauty,4.2,467,64.5,75.88,467
43,Estee Lauder,Modern Muse,450,164.4,50,EDP,Women,Floral,"Amber, Musk, Patchouli, Woody Notes","Honey Suckle, Jasmine Sambac, Lily, Tuberose",5,King-Perfume,3.9,450,285.6,63.47,450
44,Yves Saint Laurent,La Nuit De L'Homme L'Intense,583,204,100,EDP,Men,Vanilla,"Tonka Bean, Patchouli","Vanilla, Sage",5,Parfume-Stor,4.1,319,379,65.01,319
45,Juicy Couture,Vivi La Juicy Limited Edition,235,154.1,100,EDP,Women,Floral,"Amber, Caramel, Vanilla, Sandalwood, Pralines","Honeysuckle, Gardenia, Jasmine",5,AMLAQ,3.9,135,80.9,34.43,135
